0,0,1.0
1,0,1.0
2,0,1.0
3,0,1.0
4,0,1.0
5,0,1.0
6,0,1.0
7,0,1.0
8,7,2.6
9,26,5.1
10,13,3.6
11,18,4.2
12,16,4.0
13,14,3.7
14,20,4.5
15,14,3.7
16,26,5.1
17,11,3.3
18,27,5.2
19,13,3.6
20,24,4.9
21,23,4.8
22,24,4.9
23,40,6.3
24,33,5.7
25,30,5.5
26,27,5.2
27,38,6.2
28,30,5.5
29,32,5.7
30,35,5.9
31,26,5.1
32,29,5.4
33,25,5.0
34,40,6.3
35,36,6.0
36,38,6.2
37,30,5.5
38,37,6.1
39,44,6.6
40,51,7.1
41,42,6.5
42,40,6.3
43,43,6.6
44,53,7.3
45,33,5.7
46,37,6.1
47,57,7.5
48,73,8.5
49,67,8.2
50,142,11.9
51,137,11.7
52,276,16.6
53,208,14.4
54,325,18.0
55,263,16.2
56,286,16.9
57,243,15.6
58,196,14.0
59,237,15.4
60,233,15.3
61,167,12.9
62,210,14.5
63,155,12.4
64,146,12.1
65,88,9.4
66,159,12.6
67,106,10.3
68,114,10.7
69,81,9.0
70,107,10.3
71,82,9.1
72,79,8.9
73,83,9.1
74,80,8.9
75,75,8.7
76,88,9.4
77,75,8.7
78,82,9.1
79,69,8.3
80,94,9.7
81,84,9.2
82,114,10.7
83,93,9.6
84,123,11.1
85,104,10.2
86,111,10.5
87,154,12.4
88,103,10.1
89,138,11.7
90,149,12.2
91,171,13.1
92,294,17.1
93,306,17.5
94,549,23.4
95,591,24.3
96,868,29.5
97,903,30.0
98,1595,39.9
99,1265,35.6
100,1937,44.0
101,1633,40.4
102,1857,43.1
103,1746,41.8
104,1798,42.4
105,1727,41.6
106,1789,42.3
107,1613,40.2
108,2038,45.1
109,1576,39.7
110,2120,46.0
111,1520,39.0
112,1857,43.1
113,1648,40.6
114,2191,46.8
115,1623,40.3
116,2285,47.8
117,1822,42.7
118,2264,47.6
119,1921,43.8
120,2126,46.1
121,2049,45.3
122,2134,46.2
123,1859,43.1
124,2242,47.3
125,1944,44.1
126,2101,45.8
127,1952,44.2
128,2096,45.8
129,1693,41.1
130,2543,50.4
131,1594,39.9
132,2646,51.4
133,1771,42.1
134,2301,48.0
135,2004,44.8
136,1977,44.5
137,2099,45.8
138,2101,45.8
139,2047,45.2
140,2186,46.8
141,2002,44.7
142,2212,47.0
143,1885,43.4
144,2066,45.5
145,1551,39.4
146,2447,49.5
147,1731,41.6
148,2481,49.8
149,1869,43.2
150,2098,45.8
151,1972,44.4
152,1951,44.2
153,2185,46.7
154,2120,46.0
155,1747,41.8
156,2002,44.7
157,1730,41.6
158,1643,40.5
159,1158,34.0
160,1078,32.8
161,696,26.4
162,823,28.7
163,425,20.6
164,442,21.0
165,229,15.1
166,233,15.3
167,202,14.2
168,175,13.2
169,160,12.6
170,163,12.8
171,126,11.2
172,155,12.4
173,131,11.4
174,152,12.3
175,135,11.6
176,117,10.8
177,110,10.5
178,120,11.0
179,110,10.5
180,173,13.2
181,103,10.1
182,120,11.0
183,112,10.6
184,110,10.5
185,136,11.7
186,123,11.1
187,117,10.8
188,154,12.4
189,126,11.2
190,171,13.1
191,112,10.6
192,135,11.6
193,132,11.5
194,167,12.9
195,160,12.6
196,168,13.0
197,163,12.8
198,155,12.4
199,160,12.6
200,144,12.0
201,155,12.4
202,137,11.7
203,102,10.1
204,113,10.6
205,90,9.5
206,79,8.9
207,74,8.6
208,75,8.7
209,61,7.8
210,88,9.4
211,56,7.5
212,87,9.3
213,67,8.2
214,95,9.7
215,61,7.8
216,85,9.2
217,69,8.3
218,80,8.9
219,72,8.5
220,91,9.5
221,61,7.8
222,81,9.0
223,65,8.1
224,71,8.4
225,64,8.0
226,99,9.9
227,83,9.1
228,102,10.1
229,81,9.0
230,94,9.7
231,73,8.5
232,79,8.9
233,65,8.1
234,77,8.8
235,58,7.6
236,77,8.8
237,88,9.4
238,80,8.9
239,69,8.3
240,63,7.9
241,56,7.5
242,87,9.3
243,54,7.3
244,86,9.3
245,63,7.9
246,90,9.5
247,67,8.2
248,14,3.7
249,0,1.0
250,0,1.0
251,0,1.0
252,0,1.0
253,0,1.0
254,0,1.0
